0	4
02453-271	2
02476-033	1
02663-092	1
06511-564	1
08837-372	1
10001	587
10001-793	1
10002	1329
10002-162	1
10002-234	1
10002-472	9
10003	1278
10003-031	7
10003-101	1
10003-180	1
10003-342	3
10003-345	1
10003-354	1
10003-434	1
10003-891	2
10004	460
10005	188
10006	250
10006-309	1
10007	545
10008	27
10009	1317
10009-371	1
10009-821	6
10010	832
10010-261	2
10011	1714
10011-241	1
10011-551	2
10011-682	1
10011-782	1
10012	685
10012-173	1
10012-200	1
10012-232	1
10012-357	1
10013	926
10013-256	1
10013-284	2
10013-310	1
10014	985
10014-203	1
10014-237	3
10015	4
10016	1354
10017	500
10017-304	1
10017-596	1
10018	280
10019	722
10019-822	1
1002	6
10020	11
10021	1388
10022	1144
10022-433	1
10023	1887
10023-194	1
10023-200	3
10023-267	3
10023-344	1
10023-350	1
10023-366	1
10023-520	8
10023-573	1
10023-581	1
10023-582	1
10024	2021
10024-164	4
10024-181	1
10024-211	1
10024-242	1
10024-260	1
10024-532	1
10024-648	1
10025	2499
10025-168	2
10025-175	1
10025-181	1
10025-329	4
10025-503	1
10025-521	6
10025-528	1
10025-648	1
10025-692	2
10025-725	1
10026	550
10026-108	1
10026-253	1
10026-432	3
10027	767
10027-324	2
10027-562	1
10027-680	1
10027ADA	1
10028	1304
10028-467	4
10028-643	1
10029	923
10029-644	1
10029-716	1
10030	329
10031	585
10031-272	1
10031-581	1
10031-882	1
10032	395
10032-744	1
10033	451
10033-343	2
10034	355
10034-216	1
10035	520
10035-277	1
10035-360	6
10036	678
10036-695	1
10037	328
10037-220	1
10038	524
10038-110	2
10039	176
10039-434	1
1004	2
10040	319
10040-374	1
10041	3
10044	117
10046	1
10047	1
10049	1
10050	1
10052	1
10053	1
10065	802
10065-746	1
10069	110
10069-040	1
10075	646
10075-056	1
10075-061	1
10075-074	1
10075-091	2
10075-184	1
10078	1
10094	1
10099	1
10101	3
10103	1
10104	5
10106	2
10107	5
10108	33
1011	1
10110	6
10111	10
10113	7
10115	2
10116	2
10118	1
10119	15
10120	1
10121	1
10122	22
10123	5
10124	2
10125	1
10126	3
10128	1415
10129	1
10134	2
10150	3
10151	5
10152	3
10153	4
10154	3
10156	1
10158	48
10159	9
10162	29
10163	8
10165	23
10166	9
10167	2
10170	3
10171	3
10172	1
10175	2
10177	2
10178	9
10185	1
1020	2
10214	1
